"","from","to","weight"
"1072","1142","1141",1
"1073","1069","1044",1
"1074","27","335",1
"1075","205","121",1
"1076","184","185",2
"1077","52","90",1
"1078","42","43",1
"1079","42","41",1
"1080","235","378",1
"1081","10","145",1
"1082","10","146",2
"1083","458","459",1
"1084","769","305",2
"1085","109","41",2
"1086","90","27",5
"1087","2","140",1
"1088","90","25",9
"1089","463","12",1
"1090","463","10",1
"1091","45","46",2
"1092","911","35",1
"1093","309","46",2
"1094","41","292",2
"1095","235","209",1
"1096","470","46",1
"1097","423","109",1
"1098","235","200",2
"1099","1178","462",1
"1100","76","46",1
"1101","367","90",1
"1102","97","114",1
"1103","13","241",1
"1104","637","46",1
"1105","373","209",1
"1106","146","27",1
"1107","10","48",2
"1108","61","9",1
"1109","150","691",1
"1110","10","41",5
"1111","10","42",3
"1112","235","2",4
"1113","10","47",1
"1114","13","42",1
"1115","481","482",1
"1116","41","25",1
"1117","41","27",2
"1118","928","86",5
"1119","800","73",1
"1120","922","305",1
"1121","1034","1035",1
"1122","986","25",1
"1123","52","599",1
"1124","387","388",1
"1125","1125","1126",1
"1126","10","281",1
"1127","368","46",1
"1128","137","91",1
"1129","2","211",1
"1130","75","41",1
"1131","492","46",1
"1132","532","90",1
"1133","235","1087",1
"1134","475","90",1
"1135","97","198",2
"1136","1215","13",1
"1137","91","546",1
"1138","68","935",2
"1139","235","910",1
"1140","801","9",1
"1141","347","1195",1
"1142","348","209",1
"1143","90","12",3
"1144","129","131",1
"1145","129","130",1
"1146","129","132",1
"1147","97","850",1
"1148","9","200",2
"1149","97","90",2
"1150","10","729",1
"1151","406","9",1
"1152","97","95",1
"1153","10","235",2
"1154","91","949",1
"1155","154","85",1
"1156","494","46",1
"1157","282","90",2
"1158","1065","159",2
"1159","244","13",2
"1160","312","235",1
"1161","2","774",1
"1162","325","9",1
"1163","325","8",1
"1164","42","50",4
"1165","321","322",1
"1166","1005","9",1
"1167","454","583",1
"1168","305","13",3
"1169","109","50",1
"1170","946","202",1
"1171","496","497",1
"1172","91","10",1
"1173","91","11",4
"1174","91","12",1
"1175","13","898",1
"1176","90","13",1
"1177","372","363",1
"1178","90","11",1
"1179","109","146",1
"1180","109","145",1
"1181","879","25",1
"1182","305","547",1
"1183","2","778",1
"1184","115","137",1
"1185","351","352",1
"1186","235","185",2
"1187","550","551",1
"1188","305","368",1
"1189","235","967",1
"1190","235","968",1
"1191","337","27",1
"1192","235","963",2
"1193","449","954",1
